DOCUMENT,PAGE,CLAIM,CLAIM_TYPE,CANONICAL_SOURCE,CANONICAL_VALUE,MATCH,SEVERITY,ACTION
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Dossier d'accueil famille,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Fiche d'inscription,DELIVERABLE,content/pre-rentree-2026/modules.json,"[{""id"":""seconde-mathematiques"",""level"":""SECONDE"",""subjectId"":""MATHEMATIQUES"",""subject"":""Mathématiques"",""title"":""Mathématiques — Entrée en Seconde"",""subtitle"":""Entrée en Seconde — consolider les acquis de Troisième et découvrir progressivement les attentes du lycée"",""prerequisites"":""Les acquis de Troisième et du collège ; un diagnostic en début de module précise les priorités."",""differentiation"":""Exercices à paliers et aides graduées selon la maîtrise du calcul et de la rédaction."",""quickAssessment"":""Exercice court de calcul et de raisonnement corrigé à la fin de chaque séance."",""sessions"":[{""number"":1,""title"":""Calcul, proportionnalité et calcul littéral"",""objective"":""Consolider le calcul nu…",false,HIGH,REMOVE_OR_REPLACE_FROM_CANONICAL_SOURCE
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Élève,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Nom et prénom de l'élève,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Établissement (2025-2026),OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Classe de rentrée 2026,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Seconde Première Terminale,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Voie (si Première/Terminale),OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Générale Technologique Spécialités :,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Points d'attention signalés par la,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,famille,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Responsable légal,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Nom et prénom,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Téléphone (WhatsApp),OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Email,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Personne autorisée à récupérer l'élève (si,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,mineur),OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Matières choisies,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Mathématiques Physique-Chimie Français NSI/SNT,SUBJECT,data/campaigns/pre-rentree-2026.json,"[{""id"":""MATHEMATIQUES"",""label"":""Mathématiques"",""publicLabelByLevel"":{""SECONDE"":""Mathématiques"",""PREMIERE"":""Mathématiques"",""TERMINALE"":""Mathématiques""},""abbreviation"":""MATHS"",""color"":""#1B64B0""},{""id"":""PHYSIQUE_CHIMIE"",""label"":""Physique-Chimie"",""publicLabelByLevel"":{""SECONDE"":""Physique-Chimie"",""PREMIERE"":""Physique-Chimie"",""TERMINALE"":""Physique-Chimie""},""abbreviation"":""PC"",""color"":""#16847A""},{""id"":""NSI"",""label"":""NSI"",""labelByLevel"":{""SECONDE"":""Initiation informatique, algorithmique et SNT""},""publicLabelByLevel"":{""SECONDE"":""Initiation informatique, algorithmique et SNT"",""PREMIERE"":""NSI"",""TERMINALE"":""NSI""},""abbreviation"":""NSI/SNT"",""color"":""#6F42C1""},{""id"":""FRANCAIS"",""label"":""Français"",""labelByLe…",true,NONE,KEEP_CANONICAL
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,Pack,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,1 matière (480 TND) 2 matières (900 TND) 3 matières (1 350 TND) 4 matières,PRICE,data/pricing.canonical.json,"[{""subjectCount"":1,""title"":""Pré-Rentrée 2026 — 1 matière"",""hoursPerSubject"":10,""totalHours"":10,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":480,""deposit"":140,""balance"":340,""pricePerHour"":48},{""subjectCount"":2,""title"":""Pré-Rentrée 2026 — 2 matières"",""hoursPerSubject"":10,""totalHours"":20,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":900,""deposit"":270,""balance"":630,""pricePerHour"":45},{""subjectCount"":3,""title"":""Pré-Rentrée 2026 — 3 matières"",""hoursPerSubject"":10,""totalHours"":30,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":1350,""deposit"":410,""balance"":940,""pricePerHour"":45},{""subjectCount…",true,NONE,KEEP_CANONICAL
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,(1 800 TND),PRICE,data/pricing.canonical.json,"[{""subjectCount"":1,""title"":""Pré-Rentrée 2026 — 1 matière"",""hoursPerSubject"":10,""totalHours"":10,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":480,""deposit"":140,""balance"":340,""pricePerHour"":48},{""subjectCount"":2,""title"":""Pré-Rentrée 2026 — 2 matières"",""hoursPerSubject"":10,""totalHours"":20,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":900,""deposit"":270,""balance"":630,""pricePerHour"":45},{""subjectCount"":3,""title"":""Pré-Rentrée 2026 — 3 matières"",""hoursPerSubject"":10,""totalHours"":30,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":1350,""deposit"":410,""balance"":940,""pricePerHour"":45},{""subjectCount…",true,NONE,KEEP_CANONICAL
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,2,+216 99 19 28 29 · contact@nexusreussite.academy · nexusreussite.academy,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,Dossier d'accueil famille,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,Récapitulatif financier,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,Pack choisi TND,PRICE,data/pricing.canonical.json,"[{""subjectCount"":1,""title"":""Pré-Rentrée 2026 — 1 matière"",""hoursPerSubject"":10,""totalHours"":10,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":480,""deposit"":140,""balance"":340,""pricePerHour"":48},{""subjectCount"":2,""title"":""Pré-Rentrée 2026 — 2 matières"",""hoursPerSubject"":10,""totalHours"":20,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":900,""deposit"":270,""balance"":630,""pricePerHour"":45},{""subjectCount"":3,""title"":""Pré-Rentrée 2026 — 3 matières"",""hoursPerSubject"":10,""totalHours"":30,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":1350,""deposit"":410,""balance"":940,""pricePerHour"":45},{""subjectCount…",false,HIGH,REMOVE_OR_REPLACE_FROM_CANONICAL_SOURCE
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,Acompte versé ce jour (30 %) TND,DEPOSIT,data/pricing.canonical.json,"{""label"":""Acompte"",""packs"":[{""subjectCount"":1,""title"":""Pré-Rentrée 2026 — 1 matière"",""hoursPerSubject"":10,""totalHours"":10,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":480,""deposit"":140,""balance"":340,""pricePerHour"":48},{""subjectCount"":2,""title"":""Pré-Rentrée 2026 — 2 matières"",""hoursPerSubject"":10,""totalHours"":20,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":900,""deposit"":270,""balance"":630,""pricePerHour"":45},{""subjectCount"":3,""title"":""Pré-Rentrée 2026 — 3 matières"",""hoursPerSubject"":10,""totalHours"":30,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":1350,""deposit"":410,""balance"":940,""price…",false,HIGH,REMOVE_OR_REPLACE_FROM_CANONICAL_SOURCE
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,Solde à régler avant le 1er jour du stage TND,BALANCE_DEADLINE,docs/legal/pre-rentree-2026-commercial-terms-gap-analysis.md,,false,CRITICAL,REMOVE_UNTIL_APPROVED_LEGAL_SOURCE_EXISTS
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,Mode de règlement de l'acompte Espèces Chèque Virement,DEPOSIT,data/pricing.canonical.json,"{""label"":""Acompte"",""packs"":[{""subjectCount"":1,""title"":""Pré-Rentrée 2026 — 1 matière"",""hoursPerSubject"":10,""totalHours"":10,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":480,""deposit"":140,""balance"":340,""pricePerHour"":48},{""subjectCount"":2,""title"":""Pré-Rentrée 2026 — 2 matières"",""hoursPerSubject"":10,""totalHours"":20,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":900,""deposit"":270,""balance"":630,""pricePerHour"":45},{""subjectCount"":3,""title"":""Pré-Rentrée 2026 — 3 matières"",""hoursPerSubject"":10,""totalHours"":30,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":1350,""deposit"":410,""balance"":940,""price…",false,HIGH,REMOVE_OR_REPLACE_FROM_CANONICAL_SOURCE
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,Rappel des garanties : si le groupe de votre enfant n'atteint pas 3 élèves (décision communiquée le 10 août,DATE,data/campaigns/pre-rentree-2026.json,"{""startDate"":""2026-08-17"",""endDate"":""2026-08-28"",""decisionDeadline"":""2026-08-10T18:00:00+01:00""}",false,HIGH,REMOVE_OR_REPLACE_FROM_CANONICAL_SOURCE
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,"2026 à 18 h), l'acompte est intégralement remboursé ou reporté sur un autre module, à votre choix.",REFUND,docs/legal/pre-rentree-2026-commercial-terms-gap-analysis.md,,false,CRITICAL,REMOVE_UNTIL_APPROVED_LEGAL_SOURCE_EXISTS
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,L'acompte est déductible d'un parcours annuel Nexus souscrit ensuite.,DEPOSIT,data/pricing.canonical.json,"{""label"":""Acompte"",""packs"":[{""subjectCount"":1,""title"":""Pré-Rentrée 2026 — 1 matière"",""hoursPerSubject"":10,""totalHours"":10,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":480,""deposit"":140,""balance"":340,""pricePerHour"":48},{""subjectCount"":2,""title"":""Pré-Rentrée 2026 — 2 matières"",""hoursPerSubject"":10,""totalHours"":20,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":900,""deposit"":270,""balance"":630,""pricePerHour"":45},{""subjectCount"":3,""title"":""Pré-Rentrée 2026 — 3 matières"",""hoursPerSubject"":10,""totalHours"":30,""sessionsPerSubject"":5,""sessionDurationHours"":2,""groupMin"":3,""groupMax"":5,""price"":1350,""deposit"":410,""balance"":940,""price…",false,HIGH,REMOVE_OR_REPLACE_FROM_CANONICAL_SOURCE
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,Informations pratiques (à conserver par la famille),OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,"Lieu Centre Nexus Réussite, Mutuelleville, Tunis",ROOM,data/campaigns/pre-rentree-2026.json,"[""Salle 1"",""Salle 2""]",false,HIGH,REMOVE_OR_REPLACE_FROM_CANONICAL_SOURCE
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,Dates Du 17 au 28 août 2026 (pas de cours les 22 et 23 août),DATE,data/campaigns/pre-rentree-2026.json,"{""startDate"":""2026-08-17"",""endDate"":""2026-08-28"",""decisionDeadline"":""2026-08-10T18:00:00+01:00""}",false,HIGH,REMOVE_OR_REPLACE_FROM_CANONICAL_SOURCE
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,Arrivée 10 minutes avant le début du créneau,SCHEDULE_SLOT,data/campaigns/pre-rentree-2026.json,"[{""id"":""A"",""startTime"":""08:30"",""endTime"":""10:30""},{""id"":""B"",""startTime"":""10:45"",""endTime"":""12:45""},{""id"":""C"",""startTime"":""13:30"",""endTime"":""15:30""},{""id"":""D"",""startTime"":""15:45"",""endTime"":""17:45""}]",false,HIGH,REMOVE_OR_REPLACE_FROM_CANONICAL_SOURCE
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,Matériel Cahier et trousse pour toutes les matières ; calculatrice pour,MATERIAL,data/campaigns/pre-rentree-2026.json,"{""audience"":""Pour les élèves entrant en Seconde, Première ou Terminale à la rentrée 2026-2027."",""material"":""Un cahier, une trousse complète et une calculatrice pour les matières concernées. Les supports de travail sont fournis par Nexus."",""materialsBySubject"":{""MATHEMATIQUES"":{""label"":""Mathématiques"",""description"":""Un cahier, une trousse complète et une calculatrice.""},""FRANCAIS"":{""label"":""Français"",""description"":""Un cahier et une trousse complète.""},""NSI"":{""label"":""NSI/SNT"",""description"":""Pour les modules NSI/SNT, l’élève apporte un ordinateur portable. Deux postes de secours sont disponibles en nombre limité ; contactez Nexus avant le stage si nécessaire.""},""PHYSIQUE_CHIMIE"":{""label"":""Phy…",true,NONE,KEEP_CANONICAL
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,Mathématiques et Physique-Chimie ; ordinateur portable pour NSI/SNT,MATERIAL,data/campaigns/pre-rentree-2026.json,"{""audience"":""Pour les élèves entrant en Seconde, Première ou Terminale à la rentrée 2026-2027."",""material"":""Un cahier, une trousse complète et une calculatrice pour les matières concernées. Les supports de travail sont fournis par Nexus."",""materialsBySubject"":{""MATHEMATIQUES"":{""label"":""Mathématiques"",""description"":""Un cahier, une trousse complète et une calculatrice.""},""FRANCAIS"":{""label"":""Français"",""description"":""Un cahier et une trousse complète.""},""NSI"":{""label"":""NSI/SNT"",""description"":""Pour les modules NSI/SNT, l’élève apporte un ordinateur portable. Deux postes de secours sont disponibles en nombre limité ; contactez Nexus avant le stage si nécessaire.""},""PHYSIQUE_CHIMIE"":{""label"":""Phy…",true,NONE,KEEP_CANONICAL
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,(nous prévenir si besoin d'un poste de secours),OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,Supports Toutes les fiches et exercices sont fournis par Nexus,MATERIAL,data/campaigns/pre-rentree-2026.json,"{""audience"":""Pour les élèves entrant en Seconde, Première ou Terminale à la rentrée 2026-2027."",""material"":""Un cahier, une trousse complète et une calculatrice pour les matières concernées. Les supports de travail sont fournis par Nexus."",""materialsBySubject"":{""MATHEMATIQUES"":{""label"":""Mathématiques"",""description"":""Un cahier, une trousse complète et une calculatrice.""},""FRANCAIS"":{""label"":""Français"",""description"":""Un cahier et une trousse complète.""},""NSI"":{""label"":""NSI/SNT"",""description"":""Pour les modules NSI/SNT, l’élève apporte un ordinateur portable. Deux postes de secours sont disponibles en nombre limité ; contactez Nexus avant le stage si nécessaire.""},""PHYSIQUE_CHIMIE"":{""label"":""Phy…",true,NONE,KEEP_CANONICAL
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,Absence Prévenir au +216 99 19 28 29 ; les supports de la séance manquée sont,ABSENCE,docs/legal/pre-rentree-2026-commercial-terms-gap-analysis.md,,false,CRITICAL,REMOVE_UNTIL_APPROVED_LEGAL_SOURCE_EXISTS
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,remis à l'élève,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,"Bilan Un bilan individualisé écrit vous est remis à l'issue du stage, avec des",ASSESSMENT,content/pre-rentree-2026/modules.json + data/campaigns/pre-rentree-2026.json,"[{""title"":""Positionnement"",""description"":""Un diagnostic des acquis permet d'identifier les priorités de travail avant le démarrage du module.""},{""title"":""Travail guidé en groupe réduit"",""description"":""Les notions sont reprises dans un groupe de trois à cinq élèves, avec des consignes et des aides adaptées.""},{""title"":""Entraînement et correction"",""description"":""Chaque séance alterne méthode, exercices progressifs et correction explicite pour consolider les réflexes.""},{""title"":""Bilan et recommandations de rentrée"",""description"":""Le stage se termine par une synthèse des acquis observés et des recommandations de travail pour la rentrée.""}]",false,HIGH,REMOVE_OR_REPLACE_FROM_CANONICAL_SOURCE
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,recommandations de travail pour la rentrée,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,Contact pendant le stage : +216 99 19 28 29 (téléphone et WhatsApp) ·,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,contact@nexusreussite.academy,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,3,+216 99 19 28 29 · contact@nexusreussite.academy · nexusreussite.academy,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,4,Dossier d'accueil famille,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,4,Consentements et signature,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,4,"J'ai pris connaissance du programme, du planning et des conditions financières remises dans ce",PROGRAM,content/pre-rentree-2026/modules.json,"[{""id"":""seconde-mathematiques"",""level"":""SECONDE"",""subjectId"":""MATHEMATIQUES"",""subject"":""Mathématiques"",""title"":""Mathématiques — Entrée en Seconde"",""subtitle"":""Entrée en Seconde — consolider les acquis de Troisième et découvrir progressivement les attentes du lycée"",""prerequisites"":""Les acquis de Troisième et du collège ; un diagnostic en début de module précise les priorités."",""differentiation"":""Exercices à paliers et aides graduées selon la maîtrise du calcul et de la rédaction."",""quickAssessment"":""Exercice court de calcul et de raisonnement corrigé à la fin de chaque séance."",""sessions"":[{""number"":1,""title"":""Calcul, proportionnalité et calcul littéral"",""objective"":""Consolider le calcul nu…",false,HIGH,REMOVE_OR_REPLACE_FROM_CANONICAL_SOURCE
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,4,dossier.,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,4,J'ai pris connaissance des conditions générales (nexusreussite.academy/conditions-generales).,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,4,J'accepte que Nexus Réussite me contacte par WhatsApp/téléphone/email pour le suivi du stage.,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,4,(Facultatif) J'accepte de recevoir les conseils mensuels et informations Nexus Réussite.,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,4,(Facultatif) J'autorise Nexus Réussite à utiliser d'éventuelles photos de groupe où figure mon enfant,IMAGE_RIGHT,NONE,,false,CRITICAL,REMOVE_OR_REPLACE_FROM_CANONICAL_SOURCE
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,4,sur ses supports de communication : Oui Non,MATERIAL,data/campaigns/pre-rentree-2026.json,"{""audience"":""Pour les élèves entrant en Seconde, Première ou Terminale à la rentrée 2026-2027."",""material"":""Un cahier, une trousse complète et une calculatrice pour les matières concernées. Les supports de travail sont fournis par Nexus."",""materialsBySubject"":{""MATHEMATIQUES"":{""label"":""Mathématiques"",""description"":""Un cahier, une trousse complète et une calculatrice.""},""FRANCAIS"":{""label"":""Français"",""description"":""Un cahier et une trousse complète.""},""NSI"":{""label"":""NSI/SNT"",""description"":""Pour les modules NSI/SNT, l’élève apporte un ordinateur portable. Deux postes de secours sont disponibles en nombre limité ; contactez Nexus avant le stage si nécessaire.""},""PHYSIQUE_CHIMIE"":{""label"":""Phy…",true,NONE,KEEP_CANONICAL
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,4,"Fait à Tunis, le / / 2026",OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,4,Signature du responsable légal Pour Nexus Réussite,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,4,"Nexus Réussite — marque exploitée par STE M&M ACADEMY SUARL · Siège : Immeuble VENUS, Appt C13, Centre Urbain Nord, 1082",OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,4,Tunis. Les données collectées servent exclusivement à la gestion pédagogique et administrative du stage.,DATA_COLLECTION,lib/legal.ts,,false,CRITICAL,REMOVE_OR_REPLACE_FROM_CANONICAL_SOURCE
NexusReussite_PreRentree2026_DossierAccueil_PRINT.pdf,4,+216 99 19 28 29 · contact@nexusreussite.academy · nexusreussite.academy,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_Essentiel.pdf,1,Stages de pré-rentrée 2026,OTHER,STRUCTURAL_TEXT,,n/a,NONE,STRUCTURAL_TEXT
NexusReussite_PreRentree2026_Essentiel.pdf,1,"17 – 28 août 2026 · Mutuelleville, Tunis",DATE,data/campaigns/pre-rentree-2026.json,"{""startDate"":""2026-08-17"",""endDate"":""2026-08-28"",""decisionDeadline"":""2026-08-10T18:00:00+01:00""}",false,HIGH,REMOVE_OR_REPLACE_FROM_CANONICAL_SOURCE
