jour,date,heure,famille,id,canal,audience,niveau,tunnel,objectif,assetId,texte,CTA,UTM,réponseWhatsApp,KPI
J8,,19:00,publications,04-entree-premiere,Facebook | Instagram,Parents et élèves entrant en Première,PREMIERE,CONSIDERATION,Orienter les familles de Première vers les matières autorisées,full-post-04-entree-premiere,"Les parcours d'entrée en Première réunissent une à quatre matières parmi les propositions réellement disponibles pour ce niveau. Chaque matière comprend dix heures en cinq séances. Le format Premium accueille de trois à cinq élèves afin d'organiser un travail progressif, ciblé et cohérent avec les choix de l'élève.",Composer le parcours de Première,utm_source=meta&utm_medium=social_organic&utm_campaign=pre_rentree_2026&utm_content=post_04_premiere,"Bonjour, mon enfant entre en Première avec les spécialités [spécialités]. Quelles matières de pré-rentrée sont disponibles ?","Enregistrements, réponses et conversations WhatsApp qualifiées"
J8,,19:00,stories,04-premiere,Instagram Story | Facebook Story | WhatsApp Status,Parents et élèves entrant en Première,PREMIERE,CONSIDERATION,Recueillir le profil scolaire nécessaire au pack Première,full-story-04-premiere,"Cette séquence présente les packs de une à quatre matières, le groupe Premium et demande les spécialités afin que l'équipe vérifie uniquement les parcours disponibles.",Envoyer les spécialités,utm_source=meta&utm_medium=story_organic&utm_campaign=pre_rentree_2026&utm_content=story_04_premiere,"Bonjour, mon enfant entre en Première avec [spécialités]. Quelles matières sont disponibles ?","Enregistrements, réponses et conversations WhatsApp qualifiées"
J9,,19:00,carousels,04-premiere,Facebook | Instagram,Parents et élèves entrant en Première,PREMIERE,CONSIDERATION,Aider à composer un pack Première cohérent,full-carousel-04-premiere,"Ce carrousel aide les familles à sélectionner de une à quatre matières parmi les propositions disponibles en Première. Il explique le format Premium, l'organisation en cinq séances par matière et la nécessité de vérifier le profil scolaire avant confirmation.",Composer un pack Première,utm_source=meta&utm_medium=carousel_organic&utm_campaign=pre_rentree_2026&utm_content=carousel_04_premiere,"Bonjour, mon enfant entre en Première avec [spécialités]. Nous souhaitons composer un parcours de [nombre] matière(s).","Enregistrements, réponses et conversations WhatsApp qualifiées"
J10,,19:00,publications,05-entree-terminale,Facebook | Instagram,Parents et élèves entrant en Terminale | Candidats libres selon le parcours,TERMINALE,CONSIDERATION,Orienter les familles de Terminale vers un parcours cohérent,full-post-05-entree-terminale,"Les parcours d'entrée en Terminale associent une à quatre matières parmi celles prévues pour le niveau. Les dix heures de chaque matière sont réparties en cinq séances. En groupe Premium de trois à cinq élèves, le travail privilégie les objectifs utiles, l'entraînement et une correction structurée.",Vérifier le parcours de Terminale,utm_source=meta&utm_medium=social_organic&utm_campaign=pre_rentree_2026&utm_content=post_05_terminale,"Bonjour, mon enfant entre en Terminale et souhaite préparer [matières]. Pouvez-vous vérifier le parcours disponible ?","Enregistrements, réponses et conversations WhatsApp qualifiées"
J10,,19:00,stories,05-terminale,Instagram Story | Facebook Story | WhatsApp Status,Parents et élèves entrant en Terminale,TERMINALE,CONSIDERATION,Recueillir les priorités du parcours Terminale,full-story-05-terminale,"Cette séquence invite l'élève à hiérarchiser ses priorités, présente le format Premium de une à quatre matières et demande son profil scolaire pour confirmer les possibilités.",Indiquer les priorités,utm_source=meta&utm_medium=story_organic&utm_campaign=pre_rentree_2026&utm_content=story_05_terminale,"Bonjour, mon enfant entre en Terminale et ses priorités sont [matières].","Enregistrements, réponses et conversations WhatsApp qualifiées"
J11,,19:00,carousels,05-terminale,Facebook | Instagram,Parents et élèves entrant en Terminale | Candidats libres selon le parcours,TERMINALE,CONSIDERATION,Aider à hiérarchiser le parcours Terminale,full-carousel-05-terminale,Ce carrousel guide la composition d'un parcours d'entrée en Terminale de une à quatre matières selon les matières disponibles. Chaque matière comprend dix heures en cinq séances et le groupe Premium accueille de trois à cinq élèves.,Construire le parcours Terminale,utm_source=meta&utm_medium=carousel_organic&utm_campaign=pre_rentree_2026&utm_content=carousel_05_terminale,"Bonjour, mon enfant entre en Terminale avec [spécialités/options]. Nous souhaitons vérifier les matières disponibles.","Enregistrements, réponses et conversations WhatsApp qualifiées"
J12,,19:00,publications,06-methode-nexus,Facebook | Instagram | WhatsApp,Parents comparant plusieurs formats d'accompagnement,ALL,CONSIDERATION,Expliquer la différence entre une durée et une progression organisée,full-post-06-methode-nexus,"La méthode Nexus organise le temps autour d'un objectif annoncé, d'un entraînement actif et d'une correction pédagogique. L'élève ne vient pas seulement accumuler des exercices : il sait ce qu'il travaille, essaie une méthode, comprend ses erreurs et repart avec des repères qu'il peut réutiliser à la rentrée.",Découvrir l'organisation des séances,utm_source=meta&utm_medium=social_organic&utm_campaign=pre_rentree_2026&utm_content=post_06_methode,"Bonjour, je souhaite comprendre l'organisation pédagogique des stages de pré-rentrée pour le niveau [niveau].","Enregistrements, réponses et conversations WhatsApp qualifiées"
J12,,19:00,stories,06-methode,Instagram Story | Facebook Story | WhatsApp Status,Parents qui évaluent la valeur pédagogique,ALL,CONSIDERATION,Montrer les trois temps d'une séance,full-story-06-methode,Cette séquence rend la méthode visible en trois frames et montre comment l'élève peut relier le travail demandé à une démarche qu'il comprend et réutilise.,Recevoir le programme,utm_source=meta&utm_medium=story_organic&utm_campaign=pre_rentree_2026&utm_content=story_06_methode,"Bonjour, je souhaite recevoir le programme pédagogique pour [niveau/matière].","Enregistrements, réponses et conversations WhatsApp qualifiées"
J14,,19:00,carousels,06-choisir-parcours,Facebook | Instagram,Parents hésitant entre plusieurs matières,ALL,CONSIDERATION,Faciliter une demande WhatsApp qualifiée,full-carousel-06-choisir-parcours,"Ce carrousel propose une méthode simple pour formuler la demande : préciser la classe d'entrée, sélectionner une matière réellement disponible, identifier un besoin de reprise et vérifier le format correspondant avec l'équipe Nexus Réussite.",Préparer ma demande en quatre étapes,utm_source=meta&utm_medium=carousel_organic&utm_campaign=pre_rentree_2026&utm_content=carousel_06_choisir,"Bonjour, mon enfant entre en [niveau], souhaite travailler [matière] et sa priorité est [besoin].","Enregistrements, réponses et conversations WhatsApp qualifiées"
J14,,19:00,reels,02-choisir-parcours,Instagram Reels | Facebook Reels | WhatsApp Status,Parents hésitant sur le niveau ou la matière à demander,ALL,CONSIDERATION,Transformer une hésitation en demande WhatsApp qualifiée,full-reel-02-choisir-parcours,"Ce Reel guide la famille du niveau vers la matière puis vers la priorité pédagogique, sans afficher une matière au mauvais niveau. La version finale est un motion design autonome avec des cartes animées et un CTA WhatsApp mesurable.","Envoyer niveau, matière et priorité",utm_source=meta&utm_medium=reel_organic&utm_campaign=pre_rentree_2026&utm_content=reel_02_choisir,"Bonjour, mon enfant entre en [niveau], souhaite travailler [matière] et sa priorité est [besoin].","Enregistrements, réponses et conversations WhatsApp qualifiées"
J15,,19:00,publications,07-valeur-tarif,Facebook | Instagram,Parents attentifs au budget et au contenu du stage,ALL,CONSIDERATION,Répondre à l'objection tarifaire avec des éléments concrets,full-post-07-valeur-tarif,"Le tarif correspond à un parcours organisé : cinq séances par matière, des objectifs annoncés, un groupe dont la capacité est définie, un temps d'entraînement et une correction structurée. L'enjeu n'est pas d'opposer les formats d'accompagnement, mais de choisir celui qui répond au besoin actuel de l'élève.",Recevoir le détail du parcours,utm_source=meta&utm_medium=social_organic&utm_campaign=pre_rentree_2026&utm_content=post_07_valeur,"Bonjour, pouvez-vous m'envoyer le détail du contenu et le tarif du parcours [niveau/matière] ?","Enregistrements, réponses et conversations WhatsApp qualifiées"
J16,,19:00,stories,07-dix-heures,Instagram Story | Facebook Story | WhatsApp Status,Parents demandant comment sont utilisées les dix heures,ALL,CONSIDERATION,Rendre les dix heures concrètes,full-story-07-dix-heures,Cette séquence explique la répartition en cinq séances de deux heures et montre que le rythme sert une progression structurée plutôt qu'une accumulation d'exercices.,Voir le déroulé,utm_source=meta&utm_medium=story_organic&utm_campaign=pre_rentree_2026&utm_content=story_07_10h,"Bonjour, pouvez-vous m'envoyer le déroulé des cinq séances en [matière] ?","Enregistrements, réponses et conversations WhatsApp qualifiées"
J17,,19:00,publications,08-dix-heures,Facebook | Instagram,Parents souhaitant comprendre le déroulé des dix heures,ALL,CONSIDERATION,Rendre le volume de dix heures concret et lisible,full-post-08-dix-heures,"Les dix heures de chaque matière sont organisées en cinq séances de deux heures. Ce rythme permet de réactiver les connaissances, reprendre un point difficile, s'entraîner, corriger et consolider. Chaque étape garde un objectif compréhensible afin que l'élève puisse relier les exercices à une méthode.",Demander le programme de la matière,utm_source=meta&utm_medium=social_organic&utm_campaign=pre_rentree_2026&utm_content=post_08_10h,"Bonjour, je souhaite recevoir le programme des cinq séances en [matière] pour une entrée en [niveau].","Enregistrements, réponses et conversations WhatsApp qualifiées"
J18,,19:00,carousels,07-valeur,Facebook | Instagram,Parents comparant le contenu et le tarif,ALL,CONSIDERATION,Justifier la valeur par des éléments inclus et prouvés,full-carousel-07-valeur,"Ce carrousel distingue les éléments réellement inclus : cinq séances par matière, objectifs annoncés, entraînement, correction et capacité de groupe définie. Il ne promet aucun résultat garanti et invite à comparer les formats selon le besoin de l'élève.",Demander le détail et le tarif,utm_source=meta&utm_medium=carousel_organic&utm_campaign=pre_rentree_2026&utm_content=carousel_07_valeur,"Bonjour, pouvez-vous m'envoyer le détail inclus et le tarif du parcours [niveau/matière] ?","Enregistrements, réponses et conversations WhatsApp qualifiées"
J18,,19:00,stories,08-tarifs,Instagram Story | Facebook Story | WhatsApp Status,Parents recherchant les tarifs par niveau,ALL,CONSIDERATION,Présenter les tarifs dérivés du référentiel sans duplication,full-story-08-tarifs,"Cette séquence affiche les montants validés pour la 3e, la Seconde, la Première et la Terminale, puis dirige vers le parcours de qualification.",Vérifier mon tarif,utm_source=meta&utm_medium=story_organic&utm_campaign=pre_rentree_2026&utm_content=story_08_tarifs,"Bonjour, je souhaite vérifier le tarif du parcours [niveau] pour [nombre] matière(s).","Enregistrements, réponses et conversations WhatsApp qualifiées"
J19,,19:00,publications,09-effectifs-limites,Facebook | Instagram,Parents recherchant un cadre de groupe lisible,ALL,CONSIDERATION,Expliquer les capacités réelles sans créer de fausse urgence,full-post-09-effectifs-limites,"Les groupes Fondations accueillent de quatre à six élèves et les groupes Premium de trois à cinq élèves. Ces capacités sont liées au parcours proposé. Elles permettent d'organiser les exercices, les échanges et la correction dans un cadre clair, sans promettre une disponibilité qui n'aurait pas été vérifiée.",Vérifier la disponibilité du groupe,utm_source=meta&utm_medium=social_organic&utm_campaign=pre_rentree_2026&utm_content=post_09_effectifs,"Bonjour, pouvez-vous vérifier la disponibilité du groupe [niveau/matière] et me confirmer son effectif ?","Enregistrements, réponses et conversations WhatsApp qualifiées"
J20,,19:00,stories,09-effectifs,Instagram Story | Facebook Story | WhatsApp Status,Parents attentifs à la taille du groupe,ALL,CONSIDERATION,Expliquer les deux capacités de groupe,full-story-09-effectifs,"Cette séquence distingue les groupes Fondations de quatre à six élèves et Premium de trois à cinq élèves, puis invite à vérifier la disponibilité sans créer de fausse urgence.",Vérifier le groupe,utm_source=meta&utm_medium=story_organic&utm_campaign=pre_rentree_2026&utm_content=story_09_effectifs,"Bonjour, pouvez-vous vérifier l'effectif et la disponibilité du groupe [niveau/matière] ?","Enregistrements, réponses et conversations WhatsApp qualifiées"
J22,,19:00,publications,10-reservation-acompte,Facebook | Instagram | WhatsApp,Parents souhaitant recevoir les informations du stage,ALL,CONSIDERATION,Expliquer précisément la demande d'information,full-post-10-reservation-acompte,"Écrivez le niveau et la matière recherchée. Nexus Réussite peut alors transmettre les objectifs, les horaires et le tarif correspondant. Aucun paiement n'est demandé et aucune place n'est bloquée tant que les conditions contractuelles, le reçu et le rapprochement ne sont pas validés.",Demander les informations,utm_source=meta&utm_medium=social_organic&utm_campaign=pre_rentree_2026&utm_content=post_10_information,"Bonjour, je souhaite recevoir le programme, les horaires et le tarif pour [niveau/matière].","Enregistrements, réponses et conversations WhatsApp qualifiées"
J22,,19:00,stories,10-questions,Instagram Story | Facebook Story | WhatsApp Status,Parents ayant encore une question pratique,ALL,CONSIDERATION,Lever les trois principales incertitudes pratiques,full-story-10-questions,"Cette séquence rappelle le démarrage, le lieu et les informations minimales à transmettre. Elle facilite une réponse rapide sans collecter plus de données que nécessaire.",Poser ma question,utm_source=meta&utm_medium=story_organic&utm_campaign=pre_rentree_2026&utm_content=story_10_questions,"Bonjour, j'ai une question sur le stage pour [niveau] en [matière].","Enregistrements, réponses et conversations WhatsApp qualifiées"
J23,,19:00,carousels,08-reservation,Facebook | Instagram,Parents souhaitant comparer un parcours,ALL,CONSIDERATION,Expliquer la demande d'information,full-carousel-08-reservation,"La famille indique le niveau et la matière ; Nexus transmet le programme, les horaires et la grille tarifaire disponibles. Aucun paiement n'est demandé et aucune place n'est bloquée à ce stade.",Demander les informations sur WhatsApp,utm_source=meta&utm_medium=carousel_organic&utm_campaign=pre_rentree_2026&utm_content=carousel_08_information,"Bonjour, je souhaite recevoir le programme, les horaires et le tarif pour [niveau/matière].","Enregistrements, réponses et conversations WhatsApp qualifiées"
J24,,19:00,publications,11-checklist-parent,Facebook | Instagram | WhatsApp,Parents préparant la reprise scolaire,ALL,CONSIDERATION,Aider les parents à formuler le besoin avant de contacter Nexus,full-post-11-checklist-parent,"Avant d'écrire sur WhatsApp, indiquez la classe d'entrée, la ou les matières recherchées et le point que l'élève souhaite reprendre en priorité. L'équipe peut alors vérifier les matières disponibles, présenter le format correspondant et confirmer les étapes suivantes sans collecter d'informations inutiles.",Préparer ma demande sur WhatsApp,utm_source=meta&utm_medium=social_organic&utm_campaign=pre_rentree_2026&utm_content=post_11_checklist,"Bonjour, mon enfant entre en [niveau]. Nous cherchons [matière] pour reprendre en priorité [besoin].","Enregistrements, réponses et conversations WhatsApp qualifiées"
J24,,19:00,stories,11-reservation,Instagram Story | Facebook Story | WhatsApp Status,Parents souhaitant s'informer,ALL,CONSIDERATION,Expliquer la demande d'information,full-story-11-reservation,"Cette séquence présente les informations à transmettre et les éléments envoyés en retour, sans paiement ni blocage de place.",Demander les informations,utm_source=meta&utm_medium=story_organic&utm_campaign=pre_rentree_2026&utm_content=story_11_information,"Bonjour, je souhaite recevoir le programme, les horaires et le tarif du parcours.","Enregistrements, réponses et conversations WhatsApp qualifiées"
J25,,19:00,reels,03-reservation,Instagram Reels | Facebook Reels | WhatsApp Status,Parents souhaitant s'informer,ALL,CONSIDERATION,Expliquer sans ambiguïté la demande d'information,full-reel-03-reservation,Ce Reel décrit la demande sur WhatsApp et les informations transmises en retour. Il précise qu'aucun paiement n'est demandé et dirige la famille vers un échange vérifiable.,Demander les informations sur WhatsApp,utm_source=meta&utm_medium=reel_organic&utm_campaign=pre_rentree_2026&utm_content=reel_03_information,"Bonjour, je souhaite recevoir le programme, les horaires et le tarif pour [niveau/matière].","Enregistrements, réponses et conversations WhatsApp qualifiées"
J27,,11:00,publications,12-rappel-avant-stage,Facebook | Instagram | WhatsApp,Familles ayant manifesté un intérêt,ALL,CONSIDERATION,Inviter à demander les informations avant le démarrage,full-post-12-rappel-avant-stage,"Les stages de pré-rentrée débutent à Mutuelleville. Les matières varient selon la classe d'entrée et les effectifs sont limités par parcours. Écrivez le niveau et la matière recherchée sur WhatsApp : l'équipe transmettra le format, les horaires et la grille tarifaire disponibles.",Demander les informations,utm_source=meta&utm_medium=social_organic&utm_campaign=pre_rentree_2026&utm_content=post_12_rappel,"Bonjour, je souhaite recevoir le programme et les horaires pour [niveau] en [matière] avant le 17 août.","Enregistrements, réponses et conversations WhatsApp qualifiées"
J27,,19:00,stories,12-demarrage,Instagram Story | Facebook Story | WhatsApp Status,Familles intéressées avant le démarrage,ALL,CONVERSION,Rappeler le démarrage et obtenir les dernières demandes qualifiées,full-story-12-demarrage,"Cette séquence finale rappelle la date et le lieu, invite à transmettre immédiatement le niveau et la matière, et précise qu'une disponibilité n'est confirmée qu'après vérification.",Faire une dernière vérification,utm_source=meta&utm_medium=story_organic&utm_campaign=pre_rentree_2026&utm_content=story_12_demarrage,"Bonjour, je souhaite une dernière vérification pour [niveau] en [matière].",Demandes d'information qualifiées
J29,,08:00,publications,13-demarrage,Facebook | Instagram | WhatsApp,Familles de la communauté Nexus Réussite | Demandes de dernière disponibilité,ALL,CONVERSION,Annoncer le démarrage et traiter les dernières demandes compatibles,full-post-13-demarrage,"Les premières séances débutent aujourd'hui chez Nexus Réussite. Les groupes suivent un programme de cinq séances par matière, avec objectifs annoncés, entraînement et correction. Pour une demande de dernière disponibilité, précisez immédiatement le niveau et la matière sur WhatsApp ; aucune place n'est annoncée sans vérification.",Demander une dernière vérification,utm_source=meta&utm_medium=social_organic&utm_campaign=pre_rentree_2026&utm_content=post_13_demarrage,"Bonjour, je souhaite vérifier une dernière disponibilité pour [niveau] en [matière].",Demandes d'information qualifiées
