moduleId,niveau,matiere,seance,intitule,noeudsCPS,ressourceSpecifique,banques,exercices,questionsVerification,statut,dossier
premiere-physique-chimie,PREMIERE,PHYSIQUE_CHIMIE,5,Exploitation de documents scientifiques,n02|n08,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/premiere-physique-chimie/s05-exploitation-de-documents-scientifiques
terminale-mathematiques,TERMINALE,MATHEMATIQUES,1,Limites et continuité,n04,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-mathematiques/s01-limites-et-continuite
terminale-mathematiques,TERMINALE,MATHEMATIQUES,2,Dérivation avancée et fonctions composées,n01|n02,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-mathematiques/s02-derivation-avancee-et-fonctions-composees
terminale-mathematiques,TERMINALE,MATHEMATIQUES,3,Suites récurrentes et convergence,n03|n08,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-mathematiques/s03-suites-recurrentes-et-convergence
terminale-mathematiques,TERMINALE,MATHEMATIQUES,4,Probabilités : loi binomiale et espérance,n05,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-mathematiques/s04-probabilites-loi-binomiale-et-esperance
terminale-mathematiques,TERMINALE,MATHEMATIQUES,5,Géométrie dans l'espace,n06|n07,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-mathematiques/s05-geometrie-dans-l-espace
terminale-maths-expertes,TERMINALE,MATHS_EXPERTES,1,Arithmétique : divisibilité et nombres premiers,n01,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-maths-expertes/s01-arithmetique-divisibilite-et-nombres-premiers
terminale-maths-expertes,TERMINALE,MATHS_EXPERTES,2,Congruences et applications,n02,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-maths-expertes/s02-congruences-et-applications
terminale-maths-expertes,TERMINALE,MATHS_EXPERTES,3,Nombres complexes approfondis,n03|n04,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-maths-expertes/s03-nombres-complexes-approfondis
terminale-maths-expertes,TERMINALE,MATHS_EXPERTES,4,Matrices et systèmes linéaires,n05|n06,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-maths-expertes/s04-matrices-et-systemes-lineaires
terminale-maths-expertes,TERMINALE,MATHS_EXPERTES,5,Graphes : notions et parcours,n07|n08,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-maths-expertes/s05-graphes-notions-et-parcours
terminale-nsi,TERMINALE,NSI,1,"Structures de données : piles, files et arbres",n01|n03,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-nsi/s01-structures-de-donnees-piles-files-et-arbres
terminale-nsi,TERMINALE,NSI,2,Récursivité : principes et applications,n02,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-nsi/s02-recursivite-principes-et-applications
terminale-nsi,TERMINALE,NSI,3,Bases de données et SQL,n04|n06,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-nsi/s03-bases-de-donnees-et-sql
terminale-nsi,TERMINALE,NSI,4,Protocoles réseaux et sécurité,n07,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-nsi/s04-protocoles-reseaux-et-securite
terminale-nsi,TERMINALE,NSI,5,Méthodologie de l'épreuve pratique NSI,n05|n08,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-nsi/s05-methodologie-de-l-epreuve-pratique-nsi
terminale-physique-chimie,TERMINALE,PHYSIQUE_CHIMIE,1,Acides-bases et pH,n01|n02,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-physique-chimie/s01-acides-bases-et-ph
terminale-physique-chimie,TERMINALE,PHYSIQUE_CHIMIE,2,Cinétique chimique : vitesse et facteurs,n03,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-physique-chimie/s02-cinetique-chimique-vitesse-et-facteurs
terminale-physique-chimie,TERMINALE,PHYSIQUE_CHIMIE,3,Mécanique newtonienne,n04|n05,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-physique-chimie/s03-mecanique-newtonienne
terminale-physique-chimie,TERMINALE,PHYSIQUE_CHIMIE,4,Ondes et optique,n06|n07,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-physique-chimie/s04-ondes-et-optique
terminale-physique-chimie,TERMINALE,PHYSIQUE_CHIMIE,5,Résolution de problèmes scientifiques,n08,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-physique-chimie/s05-resolution-de-problemes-scientifiques
premiere-svt,PREMIERE,SVT,1,"Transmission, expression et variation du patrimoine génétique",n01|n02|n03,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/premiere-svt/s01-transmission-expression-et-variation-du-patrimoine-genetique
premiere-svt,PREMIERE,SVT,2,Dynamique interne de la Terre,n04,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/premiere-svt/s02-dynamique-interne-de-la-terre
premiere-svt,PREMIERE,SVT,3,Écosystèmes et services environnementaux,n05|n06,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/premiere-svt/s03-ecosystemes-et-services-environnementaux
premiere-svt,PREMIERE,SVT,4,"Variation génétique, santé et immunité",n07,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/premiere-svt/s04-variation-genetique-sante-et-immunite
premiere-svt,PREMIERE,SVT,5,Méthodes transversales sur les trois thèmes officiels,n08,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/premiere-svt/s05-methodes-transversales-sur-les-trois-themes-officiels
terminale-svt,TERMINALE,SVT,1,Génétique et évolution,n01|n02|n03,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-svt/s01-genetique-et-evolution
terminale-svt,TERMINALE,SVT,2,À la recherche du passé géologique,n04,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-svt/s02-a-la-recherche-du-passe-geologique
terminale-svt,TERMINALE,SVT,3,"Plantes, climat et enjeux contemporains",n05|n06,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-svt/s03-plantes-climat-et-enjeux-contemporains
terminale-svt,TERMINALE,SVT,4,"Mouvement, énergie et stress",n07,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-svt/s04-mouvement-energie-et-stress
terminale-svt,TERMINALE,SVT,5,Méthodes transversales sur les trois thèmes officiels,n08,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-svt/s05-methodes-transversales-sur-les-trois-themes-officiels
terminale-philosophie,TERMINALE,PHILOSOPHIE,1,Qu’est-ce qu’une question philosophique ? Qu’est-ce qu’une notion ?,n01|n02,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-philosophie/s01-qu-est-ce-qu-une-question-philosophique-qu-est-ce-qu-une-notion
terminale-philosophie,TERMINALE,PHILOSOPHIE,2,Lire et rendre compte d’un texte philosophique court,n03|n04,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-philosophie/s02-lire-et-rendre-compte-d-un-texte-philosophique-court
terminale-philosophie,TERMINALE,PHILOSOPHIE,3,Construire une problématique,n05,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-philosophie/s03-construire-une-problematique
terminale-philosophie,TERMINALE,PHILOSOPHIE,4,Méthode de la dissertation,n06|n07,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-philosophie/s04-methode-de-la-dissertation
terminale-philosophie,TERMINALE,PHILOSOPHIE,5,Méthode de l’explication de texte,n08,NON,3,9,3,HUMAN_VALIDATION_REQUIRED,modules/terminale-philosophie/s05-methode-de-l-explication-de-texte
