id,domain,requirement,current_evidence,current_status,target_acceptance,priority
REQ-034,RAG,Backend actually identified,Chroma confirmed in production,PARTIAL,Commit/config/corpus ADR,P1
REQ-035,RAG,Coherent collection/dimension,Names and 768/3072 diverge,FAIL,Manifest and startup validation,P1
REQ-036,RAG,Full filters and citations,Only subject/level/track and lost metadata,FAIL,Persist source/chunk/page/version/score/checksum,P1
REQ-037,RAG,Empty distinct from error,Client returns [] for both,FAIL,Typed outcome contract,P1
REQ-038,RAG,Prompt injection defense,Documents inserted raw,FAIL,Data delimiters/sanitization/tests,P1
REQ-039,LLM,Structured validated output,Mistral/NPC structured; legacy Markdown,PARTIAL,All report enrichment strict schema,P1
REQ-040,LLM,Evidence IDs and citations,Not enforced,FAIL,Schema reference validation,P1
REQ-041,LLM,PII minimization,Names/emails/comments sent in contexts,FAIL,Pseudonymous context and data register,P0
REQ-042,LLM,Timeout retry fallback,Inconsistent; deterministic fallback partial,PARTIAL,Bounded calls and complete fallback,P1
REQ-043,LLM,Prompt/model/checksum trace,Mistral prompt version partial,PARTIAL,Stored on ReportVersion,P1
REQ-044,Agents,No unjustified multi-agent,Current services/workers not true agents,MET,ADR retains bounded services,P2
REQ-045,Reports,Versioned per audience,Three columns/global flags,FAIL,Immutable ReportVersion audience,P1
REQ-046,Review,Human review parent,Special validation only,FAIL,HumanReview before PARENT publish,P1
REQ-047,Publication,Separate and revocable,Global isPublished,FAIL,ReportPublication per audience/history,P1
REQ-048,PDF,Private durable storage,Local/on-demand; no Nexus storage observed,FAIL,Object artifact + signed access/restore,P1
REQ-049,Security,Audit mutations/transitions,Fragmented logs,PARTIAL,Append-only AuditEvent without PII,P1
REQ-050,Privacy,RGPD retention/deletion/DPA,Not proven,UNKNOWN,Approved policy and tested jobs,P1
REQ-051,Accessibility,Keyboard/screen reader/resume,Certain axe tests; diagnostic generic absent,PARTIAL,Playwright axe and accommodations,P1
REQ-052,Testing,Unit/property scoring,Numerous unit tests but no canonical properties,PARTIAL,Golden/property suites,P1
REQ-053,Testing,PostgreSQL IDOR,Real test files exist; not run this session,UNKNOWN,Green against isolated Postgres,P0
REQ-054,Testing,Worker concurrency,None canonical,GAP,Two-worker/lease/crash suite,P0
REQ-055,Testing,RAG/LLM contract real staging,Mocks only in executed set,UNKNOWN,Authorized staging evidence,P1
REQ-056,Testing,E2E role journeys,Playwright files exist; not run,UNKNOWN,Student/parent/coach journeys green,P1
REQ-057,Production,Known deployed commit,Production read confirmed,MET,Release records keep commit/artefact,P1
REQ-058,Production,Health for DB/queue/RAG/storage,Services healthy individually; full pipeline unknown,PARTIAL,Protected composite health + alerts,P1
REQ-059,Production,Backup and restore,Dossiers/runbooks only,UNKNOWN,Timestamped successful restore drill,P0
REQ-060,Migration,Additive reversible coexistence,No canonical migration yet,GAP,Feature flags/backfill/shadow/rollback,P1
REQ-061,Migration,Historical IDs preserved,No actual canonical links,GAP,LegacyEntityLink uniqueness/checksum,P1
REQ-062,Migration,NPC supplies evidence without parallel report,NPC separate,GAP,Validated evidence adapter,P1
REQ-063,Questions,AI questions require pedagogical review,No canonical workflow,GAP,Draft/review/approved/published states,P1
REQ-064,Pedagogy,Limits of diagnosis displayed,Legacy texts variable,PARTIAL,Deterministic limitations based on quality,P1
REQ-065,Operations,No production mutation in reconstruction,Read-only checks only,MET,Final Git/prod confirmation,P0
