workflow,method,url,entrypoint,guard,ownership,validation,transaction,idempotence,rate_limit,audience,mode,models,risk,status
Bilan,GET,/api/bilans/[id],Viewer,Session + read helper,Student/parent/coach scopes,ID,Read,None,No,Role-sanitized,Sync,Bilan,Sanitizer does not isolate student vs parent,CONFIRMED_CODE
Bilan,PUT,/api/bilans/[id],Staff editor,Session + write helper,Coach assignment for loaded Bilan,Schema,Single update,None,Limiter,Multiple,Sync,Bilan,Can change score/status/markdown/publication without state machine,CONFIRMED_CODE
Bilan,DELETE,/api/bilans/[id],Admin,ADMIN,Bilan ID,ID,Destructive delete,None,Limiter,Internal,Sync,Bilan,History destruction,CONFIRMED_CODE
Bilan,POST,/api/bilans/generate,Staff/coach UI,Role only,None on target Bilan,Schema,Update after starting generation,None,Limiter,Multiple,Fire-and-forget,Bilan,IDOR; race; loss; client collections,CONFIRMED_CODE
Bilan,GET,/api/bilans/generate,Polling,Role only,None on target Bilan,Query,Read,None,No,Internal status/errors,Sync,Bilan,IDOR status/error exposure,CONFIRMED_CODE
Bilan,GET,/api/bilans/[id]/export,Staff viewer,Session/role,Bilan access varies,ID,Read,None,No,Role report,Sync PDF,Bilan,Non-versioned export,CONFIRMED_CODE
Bilan,POST,/api/bilans/[id]/export,Staff action,Session/role,Bilan access varies,ID,Generation/update,None,Limiter,Role report,Sync or trigger,Bilan,Second export path,CONFIRMED_CODE
Bilan,GET,/api/student/bilans/[publicShareId],Student dashboard,ELEVE,Student relation/publicShareId,ID,Read,None,No,Student,Sync,Bilan,Correct route bypassed by current navigation mapping,CONFIRMED_CODE
Bilan,GET,/api/parent/bilans/[id]/pdf,Parent dashboard,PARENT,Direct parentId + published,ID,Read,None,Limiter,Parent,Sync PDF,Bilan,Mono-parent only; no stored version,CONFIRMED_CODE
MathDiagnostic,GET,/api/eleve/bilan-diagnostic-maths-terminale,Student dashboard,ELEVE,Student from session,Query,Read,None,No,Student,Sync,Bilan|Student,Dedicated chain,CONFIRMED_CODE
MathDiagnostic,POST,/api/eleve/bilan-diagnostic-maths-terminale,Student dashboard,ELEVE,Student from session,Zod,Specific writes,Route-specific,Limiter,Student,Sync,Bilan,Dedicated scoring/report semantics,CONFIRMED_CODE
MathDiagnostic,GET,/api/coach/students/[studentId]/bilan-diagnostic-maths-terminale,Coach dossier,COACH,Assignment helper,ID,Read,None,No,Internal,Sync,Bilan,Specialized route duplication,CONFIRMED_CODE
MathDiagnostic,PATCH,/api/coach/students/[studentId]/bilan-diagnostic-maths-terminale,Coach dossier,COACH,Assignment helper,Zod,Update,None,Limiter,Internal,Sync,Bilan,Publication/review semantics specialized,CONFIRMED_CODE
EAF,GET,/api/eleve/questionnaire-eaf-stage-printemps,Student dashboard,ELEVE,Student from session,Query,Read,None,No,Student,Sync,QuestionnaireResponse,Dedicated questionnaire,CONFIRMED_CODE
EAF,POST,/api/eleve/questionnaire-eaf-stage-printemps,Student dashboard,ELEVE,Student from session,Zod,Upsert draft/final,Route-specific,Limiter,Student,Sync then job eligibility,QuestionnaireResponse|GeneratedPedagogicalReport,No generic attempt/autosave contract,CONFIRMED_CODE
MathStage,GET,/api/eleve/questionnaire-maths-premiere-stage-printemps,Student dashboard,ELEVE,Student from session,Query,Read,None,No,Student,Sync,Bilan,Dedicated questionnaire,CONFIRMED_CODE
MathStage,POST,/api/eleve/questionnaire-maths-premiere-stage-printemps,Student dashboard,ELEVE,Student from session,Zod,Upsert,None,Limiter,Student,Sync,Bilan,Does not consistently create generated report job,CONFIRMED_CODE
EAF,GET,/api/coach/students/[studentId]/eaf-preparation-report,Coach dossier,COACH,Assignment,ID,Read,None,No,Internal,Sync,EafPreparationReport,Dedicated workflow,CONFIRMED_CODE
EAF,PUT,/api/coach/students/[studentId]/eaf-preparation-report,Coach dossier,COACH,Assignment,Zod,Update,None,Limiter,Internal,Sync,EafPreparationReport,Completeness and review coupled,CONFIRMED_CODE
EAF,POST,/api/coach/students/[studentId]/eaf-preparation-report/validate,Coach dossier,COACH,Assignment,Zod,Update + maybe job,Route-specific,Limiter,Internal,Sync,EafPreparationReport|GeneratedPedagogicalReport,Validation acts as workflow gate but no canonical review,CONFIRMED_CODE
GeneratedReport,GET,/api/coach/students/[studentId]/generated-reports,Coach panel,COACH,Active assignment,IDs,Read,None,No,Internal,Sync,GeneratedPedagogicalReport,Manual refresh; projection tested with mocks,CONFIRMED_CODE
GeneratedReport,POST,/api/coach/students/[studentId]/generated-reports,Coach panel,COACH,Active assignment,Zod,Create/process depending path,Checksum uniqueness,Limiter,Internal,Process-local,GeneratedPedagogicalReport,No durable claim/lease,CONFIRMED_CODE
GeneratedReport,POST,/api/coach/students/[studentId]/generated-reports/[reportId]/generate,Coach panel,COACH,Delegates regenerate with assignment,IDs,Update/process,Checksum,Limiter,Internal,Process-local,GeneratedPedagogicalReport,Alias route; no durable queue,CONFIRMED_CODE
GeneratedReport,POST,/api/coach/students/[studentId]/generated-reports/[reportId]/regenerate,Coach panel,COACH,Assignment + student/report match,IDs,Reset/process,None,Limiter,Internal,Process-local,GeneratedPedagogicalReport,Version overwritten/status reset rather than ReportVersion,CONFIRMED_CODE
GeneratedReport,GET,/api/coach/students/[studentId]/generated-reports/[reportId]/download,Coach panel,COACH,Assignment + student/report match,IDs,Read file,None,Limiter,Internal PDF,Sync,GeneratedPedagogicalReport,Local storage durability,CONFIRMED_CODE
StageBilan,GET,/api/stages/[stageSlug]/bilans,Stage pages,Session/role,Role-specific stage scope,Slug/query,Read,None,No,Role-dependent,Sync,StageBilan|Bilan,Two model families merged,CONFIRMED_CODE
StageBilan,POST,/api/stages/[stageSlug]/bilans,Coach stage,COACH/staff,Assignment/stage checks vary,Zod,Create/update,None,Limiter,Multiple,Sync,StageBilan,Global publication flag,CONFIRMED_CODE
NPC,POST,/api/npc/submissions,Coach NPC,COACH,Coach assignment check,Zod,Create submission/job,Partial keys,Limiter,Internal,Async DB job,CopySubmission|AiProcessingJob,Active-window inconsistency in one path,CONFIRMED_CODE
NPC,GET,/api/npc/submissions,Coach NPC,COACH,Coach/assignment filters,Query,Read,None,No,Internal,Sync,CopySubmission,Separate visibility model,CONFIRMED_CODE
NPC,POST,/api/npc/uploads,Coach NPC,COACH,Assignment/submission relation,Multipart/file validation,File write,None,Limiter,Internal,Sync,Document,Local/object policy uncertain,CONFIRMED_CODE
NPC,GET,/api/npc/submissions/[submissionId]/documents,Coach NPC,COACH,Submission ownership,IDs,Read,None,No,Internal,Sync,Document,Specialized,CONFIRMED_CODE
NPC,POST,/api/npc/submissions/[submissionId]/documents,Coach NPC,COACH,Submission ownership,Zod,Create,None,Limiter,Internal,Sync,Document,Specialized,CONFIRMED_CODE
NPC,PATCH|DELETE,/api/npc/submissions/[submissionId]/documents/[documentId],Coach NPC,COACH,Submission/document ownership,Zod,Update/delete,None,Limiter,Internal,Sync,Document,Destructive delete needs audit,CONFIRMED_CODE
NPC,POST,/api/npc/submissions/[submissionId]/generate,Coach NPC,COACH,Submission ownership,Zod,Create AI jobs,Partial,Limiter,Internal,Async DB worker,AiProcessingJob,Retry state not reclaimed; LLM scores,CONFIRMED_CODE
NPC,GET,/api/npc/files/[...path],Coach NPC,COACH,Path + resource ownership,Path validation,File read,None,Limiter,Internal artifact,Sync,Document,Path/storage surface,CONFIRMED_CODE
RAG,POST,/api/programme/maths-1ere/rag,Maths programme,Entitlement/session,Student/session,Schema,Read,None,Limiter,Student,Sync HTTP,External Chroma,Errors may collapse to empty; incomplete citations,CONFIRMED_CODE
RAG,POST,/api/programme/maths-1ere-stmg/rag,STMG programme,Entitlement/session,Student/session,Schema,Read,None,Limiter,Student,Sync HTTP,External Chroma,Separate route/filters,CONFIRMED_CODE
ARIA,POST,/api/aria/chat,Student ARIA,Session + entitlement,Student/subject entitlement,Zod,Conversation write,Request key limited,AI limiter,Student,Sync streaming/call,AriaConversation|AriaMessage,Not the report generator; PII/provider governance,CONFIRMED_CODE
Health,GET,/api/health,Operations,Public,None,None,Read,None,No,Public,Sync,Infrastructure,Does not prove full report pipeline,CONFIRMED_CODE
Health,GET,/api/internal/health,Operations,Internal secret/session,None,None,Read,None,No,Internal,Sync,Infrastructure,Deployment/config coverage must be verified,CONFIRMED_CODE
